greek	lemma	grammar	isopsephy	roman	root	root_translation	root_isopsephy	primes	root_primes	geometry	root_geometry	occurrences
γης	G1093	N-GSF	211	gēs	γη	soil; by extension a region, or the solid part or the whole of the terrene globe (including the occupants in each application)	11	(211,)	(11,)	(149, 298, 122, 365, 94, 472, 86, 517, 130, 341, 67, 663)	(8, 16, 6, 19, 5, 25, 4, 27, 7, 18, 4, 35)	1:5, 1:7, 3:10, 5:3, 5:10, 5:13, 6:4, 6:8, 6:10, 6:15, 7:1, 8:13, 9:3, 9:4, 10:5, 10:8, 11:4, 11:10, 13:8, 13:11, 13:14, 14:3, 14:6, 14:15, 14:18, 14:19, 16:14, 16:18, 17:2, 17:5, 17:8, 17:18, 18:3, 18:9, 18:11, 18:23, 18:24, 19:19, 20:8, 20:9, 21:24
ιδου	G2400	V-2AAM-2S	484	idou	ιδου	used as imperative lo!; 	484	(2, 11)	(2, 11)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	1:7, 1:18, 2:10, 2:22, 3:8, 3:9, 3:11, 3:20, 4:1, 4:2, 5:5, 5:6, 6:2, 6:5, 6:8, 6:12, 7:9, 9:12, 11:14, 12:3, 14:1, 14:14, 15:5, 16:15, 19:11, 21:3, 21:5, 22:7, 22:12
ερχομαι	G2064	V-PNI-1S	826	erxomai	ερχομαι	to come or go (in a great variety of applications, literally and figuratively)	826	(2, 7, 59)	(2, 7, 59)	(584, 1168, 477, 1431, 369, 1847, 337, 2023, 510, 1336, 263, 2595)	(584, 1168, 477, 1431, 369, 1847, 337, 2023, 510, 1336, 263, 2595)	2:5, 2:16, 3:11, 16:15, 22:7, 22:12, 22:20
ταχυ	G5035	ADV	1301	taxu	ταχυ	shortly, i.e. without delay, soon, or (by surprise) suddenly, or (by implication, of ease) readily	1301	(1301,)	(1301,)	(920, 1840, 751, 2253, 582, 2909, 531, 3187, 804, 2105, 414, 4087)	(920, 1840, 751, 2253, 582, 2909, 531, 3187, 804, 2105, 414, 4087)	2:16, 3:11, 11:14, 22:7, 22:12, 22:20
κρατει	G2902	V-PAM-2S	436	kratei	κρατεω	to use strength, i.e. seize or retain (literally or figuratively)	1226	(2, 109)	(2, 613)	(308, 617, 252, 755, 195, 975, 178, 1068, 269, 705, 139, 1370)	(867, 1734, 708, 2123, 548, 2741, 501, 3003, 758, 1984, 390, 3852)	3:11
εχεις	G2192	V-PAI-2S	820	exeis	σχεω	to hold (used in very various applications, literally or figuratively, direct or remote; such as possession; ability, contiuity, relation, or condition)	1605	(2, 5, 41)	(3, 5, 107)	(580, 1160, 473, 1420, 367, 1834, 335, 2009, 507, 1327, 261, 2576)	(1135, 2270, 927, 2780, 718, 3589, 655, 3931, 992, 2597, 511, 5042)	2:3, 2:6, 2:14, 2:15, 3:1, 3:4, 3:8, 3:11
μηδεις	G3367	A-NSM	267	mēdeis	μηδεν	not even one (man, woman, thing)	107	(3, 89)	(107,)	(189, 378, 154, 462, 119, 597, 109, 654, 165, 432, 85, 839)	(76, 151, 62, 185, 48, 239, 44, 262, 66, 173, 34, 336)	3:11
λαβη	G2983	V-2AAS-3S	41	labē	λαμβανω	while G138 (λαμβάνω) is more violent, to seize or remove))	924	(41,)	(2, 3, 7, 11)	(29, 58, 24, 71, 18, 92, 17, 100, 25, 66, 13, 129)	(653, 1307, 533, 1600, 413, 2066, 377, 2263, 571, 1495, 294, 2903)	3:11
στεφανον	G4735	N-ASM	1176	stefanon	στεφανος	a chaplet (as a badge of royalty, a prize in the public games or a symbol of honor generally; but more conspicuous and elaborate than the simple fillet, G1238 (στέφανος)), literally or figuratively	1326	(2, 3, 7)	(2, 3, 13, 17)	(832, 1663, 679, 2037, 526, 2630, 480, 2881, 727, 1903, 374, 3695)	(938, 1875, 766, 2297, 593, 2965, 541, 3248, 820, 2146, 422, 4166)	2:10, 3:11, 14:14
νικων	G3528	V-PAP-NSM	930	nikōn	νικαω	to subdue (literally or figuratively)	881	(2, 3, 5, 31)	(881,)	(658, 1315, 537, 1611, 416, 2080, 380, 2278, 575, 1505, 296, 2922)	(623, 1246, 509, 1526, 394, 1970, 360, 2158, 544, 1425, 280, 2768)	2:11, 2:26, 3:5, 3:12, 3:21, 6:2, 21:7
ποιησω	G4160	V-FAI-1S	1168	poiēsō	ποιεω	to make or do (in a very wide application, more or less direct)	965	(2, 73)	(5, 193)	(826, 1652, 674, 2023, 522, 2612, 477, 2861, 722, 1890, 372, 3669)	(682, 1365, 557, 1671, 432, 2158, 394, 2364, 596, 1561, 307, 3032)	3:9, 3:12
στυλον	G4769	N-ASM	1050	stulon	στυλος	"properly akin to the base of G2476 (στῦλος)); a post (""style""), i.e. (figuratively) support"	1200	(2, 3, 5, 7)	(2, 3, 5)	(742, 1485, 606, 1819, 470, 2348, 429, 2572, 649, 1699, 334, 3299)	(849, 1697, 693, 2078, 537, 2683, 490, 2939, 742, 1942, 382, 3770)	3:12
ναω	G3485	N-DSM	851	naō	ναος	a fane, shrine, temple 	321	(23, 37)	(3, 107)	(602, 1203, 491, 1474, 381, 1903, 347, 2085, 526, 1377, 271, 2673)	(227, 454, 185, 556, 144, 718, 131, 786, 198, 519, 102, 1008)	3:12, 7:15, 11:19
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
εξω	G1854	ADV	865	ecō	εξω	out(-side, of doors), literally or figuratively	865	(5, 173)	(5, 173)	(612, 1223, 499, 1498, 387, 1934, 353, 2119, 535, 1400, 275, 2717)	(612, 1223, 499, 1498, 387, 1934, 353, 2119, 535, 1400, 275, 2717)	3:12, 11:2, 14:20, 22:15
εξελθη	G1831	V-2AAS-3S	117	ecelthē	εξερχομαι	to issue (literally or figuratively)	891	(3, 13)	(3, 11)	(83, 165, 68, 203, 52, 262, 48, 287, 72, 189, 37, 368)	(630, 1260, 514, 1543, 398, 1992, 364, 2182, 551, 1442, 284, 2799)	3:12
ετι	G2089	ADV	315	eti	ετι	yet, still (of time or degree)	315	(3, 5, 7)	(3, 5, 7)	(223, 445, 182, 546, 141, 704, 129, 772, 195, 510, 100, 990)	(223, 445, 182, 546, 141, 704, 129, 772, 195, 510, 100, 990)	3:12, 6:11, 7:16, 9:12, 10:6, 12:8, 18:21, 18:22, 18:23, 20:3, 21:1, 21:4, 22:3, 22:11
γραψω	G1125	V-FAI-1S	1604	grapsō	γραφω	"to ""grave"", especially to write; figuratively, to describe"	1404	(2, 401)	(2, 3, 13)	(1134, 2268, 926, 2778, 717, 3587, 655, 3929, 991, 2595, 511, 5039)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	3:12
ονομα	G3686	N-NSN	231	onoma	ονομα	"a ""name"" (literally or figuratively) (authority, character)"	231	(3, 7, 11)	(3, 7, 11)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	2:3, 2:13, 2:17, 3:1, 3:5, 3:8, 3:12, 6:8, 8:11, 9:11, 11:18, 13:1, 13:6, 13:17, 14:1, 15:4, 16:9, 17:5, 19:12, 19:13, 19:16, 22:4
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
ονομα	G3686	N-NSN	231	onoma	ονομα	"a ""name"" (literally or figuratively) (authority, character)"	231	(3, 7, 11)	(3, 7, 11)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	2:3, 2:13, 2:17, 3:1, 3:5, 3:8, 3:12, 6:8, 8:11, 9:11, 11:18, 13:1, 13:6, 13:17, 14:1, 15:4, 16:9, 17:5, 19:12, 19:13, 19:16, 22:4
πολεως	G4172	N-GSF	1185	poleōs	πολις	a town (properly, with walls, of greater or less size)	390	(3, 5, 79)	(2, 3, 5, 13)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	(276, 552, 225, 675, 174, 872, 159, 955, 241, 631, 124, 1225)	3:12, 11:8, 11:13, 14:20, 21:14, 21:19, 21:21, 22:19
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
καινης	G2537	A-GSF	289	kainēs	καινος	new, fresh	351	(17,)	(3, 13)	(204, 409, 167, 501, 129, 646, 118, 708, 179, 468, 92, 908)	(248, 496, 203, 608, 157, 785, 143, 860, 217, 568, 112, 1103)	3:12
ιερουσαλημ	G2419	N-PRI	864	ierousalēm	Ιερουσαλημ	Hierusalem (i.e. Jerushalem), the capitol of Palestine	864	(2, 3)	(2, 3)	(611, 1222, 499, 1496, 386, 1932, 353, 2116, 534, 1398, 275, 2714)	(611, 1222, 499, 1496, 386, 1932, 353, 2116, 534, 1398, 275, 2714)	3:12, 21:2, 21:10
καταβαινουσα	G2597	V-PAP-NSF	1056	katabainousa	καταβαινω	to descend (literally or figuratively)	1185	(2, 3, 11)	(3, 5, 79)	(747, 1493, 610, 1829, 472, 2361, 431, 2587, 653, 1709, 336, 3318)	(838, 1676, 684, 2052, 530, 2650, 484, 2903, 732, 1917, 377, 3723)	3:12
ουρανου	G3772	N-GSM	1091	ouranou	ουρανος	the sky; by extension, heaven (as the abode of God); by implication, happiness, power, eternity; specially, the Gospel (Christianity)	891	(1091,)	(3, 11)	(771, 1543, 630, 1890, 488, 2440, 445, 2672, 674, 1765, 347, 3427)	(630, 1260, 514, 1543, 398, 1992, 364, 2182, 551, 1442, 284, 2799)	3:12, 6:13, 8:10, 9:1, 10:1, 10:4, 10:8, 11:12, 11:13, 12:4, 13:13, 14:2, 14:13, 16:11, 16:17, 16:21, 18:1, 18:4, 18:5, 20:1, 20:9, 21:2, 21:3, 21:10
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
ονομα	G3686	N-NSN	231	onoma	ονομα	"a ""name"" (literally or figuratively) (authority, character)"	231	(3, 7, 11)	(3, 7, 11)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	(163, 327, 133, 400, 103, 517, 94, 566, 143, 374, 74, 726)	2:3, 2:13, 2:17, 3:1, 3:5, 3:8, 3:12, 6:8, 8:11, 9:11, 11:18, 13:1, 13:6, 13:17, 14:1, 15:4, 16:9, 17:5, 19:12, 19:13, 19:16, 22:4
καινον	G2537	A-ASM	201	kainon	καινος	new, fresh	351	(3, 67)	(3, 13)	(142, 284, 116, 348, 90, 449, 82, 492, 124, 325, 64, 631)	(248, 496, 203, 608, 157, 785, 143, 860, 217, 568, 112, 1103)	2:17, 3:12, 21:1
εχων	G2192	V-PAP-NSM	1455	exōn	σχεω	to hold (used in very various applications, literally or figuratively, direct or remote; such as possession; ability, contiuity, relation, or condition)	1605	(3, 5, 97)	(3, 5, 107)	(1029, 2058, 840, 2520, 651, 3253, 594, 3564, 899, 2354, 463, 4571)	(1135, 2270, 927, 2780, 718, 3589, 655, 3931, 992, 2597, 511, 5042)	1:16, 2:7, 2:11, 2:12, 2:17, 2:18, 2:29, 3:1, 3:6, 3:7, 3:13, 3:22, 6:2, 6:5, 8:3, 12:3, 12:12, 13:17, 13:18, 14:14, 14:17, 14:18, 17:9, 19:12, 20:6
ους	G3775	N-ASN	670	ous	ους	the ear (physically or mentally)	670	(2, 5, 67)	(2, 5, 67)	(474, 948, 387, 1160, 300, 1498, 274, 1641, 414, 1084, 213, 2105)	(474, 948, 387, 1160, 300, 1498, 274, 1641, 414, 1084, 213, 2105)	2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 13:9
ακουσατω	G191	V-AAM-3S	1792	akousatō	ακουω	to hear (in various senses)	1291	(2, 7)	(1291,)	(1267, 2534, 1035, 3104, 801, 4007, 732, 4389, 1108, 2900, 570, 5630)	(913, 1826, 745, 2236, 577, 2887, 527, 3162, 798, 2089, 411, 4056)	2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 13:9
πνευμα	G4151	N-NSN	576	pneuma	πνευμα	a current of air, i.e. breath (blast) or a breeze; by analogy or figuratively, a spirit, i.e. (human) the rational soul, (by implication) vital principle, mental disposition, etc., or (superhuman) an angel, demon, or (divine) God, Christ's spirit, the Holy Spirit	576	(2, 3)	(2, 3)	(407, 815, 333, 998, 258, 1288, 235, 1411, 356, 932, 183, 1810)	(407, 815, 333, 998, 258, 1288, 235, 1411, 356, 932, 183, 1810)	2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 11:11, 13:15, 14:13, 19:10, 22:17
λεγει	G3004	V-PAI-3S	53	legei	λεγω	"properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 (λέγω) and G5346 (λέγω) generally refer to an individual expression or speech respectively; while G4483 (λέγω) is properly to break silence merely, and G2980 (λέγω) means an extended or random harangue)); by implication, to mean"	838	(53,)	(2, 419)	(37, 75, 31, 92, 24, 119, 22, 130, 33, 86, 17, 167)	(593, 1185, 484, 1451, 375, 1874, 342, 2053, 518, 1356, 267, 2633)	1:8, 2:1, 2:7, 2:8, 2:11, 2:12, 2:17, 2:18, 2:29, 3:1, 3:6, 3:7, 3:13, 3:14, 3:22, 5:5, 10:9, 10:11, 14:13, 17:15, 18:7, 19:9, 19:10, 21:5, 22:9, 22:10, 22:20
εκκλησιαις	G1577	N-DPF	504	ekklēsiais	εκκλησια	a calling out, i.e. (concretely) a popular meeting, especially a religious congregation (Jewish synagogue, or Christian community of members on earth or saints in heaven or both)	294	(2, 3, 7)	(2, 3, 7)	(356, 713, 291, 873, 225, 1127, 206, 1235, 311, 815, 160, 1583)	(208, 416, 170, 509, 131, 657, 120, 720, 182, 476, 94, 924)	1:4, 1:11, 2:7, 2:11, 2:17, 2:29, 3:6, 3:13, 3:22, 22:16
αγγελω	G32	N-DSM	842	aggelō	αγγελος	"compare G34 (ἄγγελος)) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor"	312	(2, 421)	(2, 3, 13)	(595, 1191, 486, 1458, 377, 1883, 344, 2062, 520, 1362, 268, 2645)	(221, 441, 180, 540, 140, 698, 127, 764, 193, 505, 99, 980)	2:1, 2:8, 2:12, 2:18, 3:1, 3:7, 3:14, 9:14
εκκλησιας	G1577	N-GSF	494	ekklēsias	εκκλησια	a calling out, i.e. (concretely) a popular meeting, especially a religious congregation (Jewish synagogue, or Christian community of members on earth or saints in heaven or both)	294	(2, 13, 19)	(2, 3, 7)	(349, 699, 285, 856, 221, 1105, 202, 1210, 305, 799, 157, 1552)	(208, 416, 170, 509, 131, 657, 120, 720, 182, 476, 94, 924)	2:1, 2:8, 2:12, 2:18, 3:1, 3:7, 3:14
λαοδικεων	G2994	N-GPM	990	laodikeōn	Λαοδικευς	a Laodicean, i.e. inhabitant of Laodicia	740	(2, 3, 5, 11)	(2, 5, 37)	(700, 1400, 572, 1715, 443, 2214, 404, 2425, 612, 1602, 315, 3110)	(523, 1047, 427, 1282, 331, 1655, 302, 1813, 457, 1197, 236, 2325)	3:14
γραψον	G1125	V-AAM-2S	924	grapson	γραφω	"to ""grave"", especially to write; figuratively, to describe"	1404	(2, 3, 7, 11)	(2, 3, 13)	(653, 1307, 533, 1600, 413, 2066, 377, 2263, 571, 1495, 294, 2903)	(993, 1986, 811, 2432, 628, 3139, 573, 3439, 868, 2272, 447, 4411)	1:11, 1:19, 2:1, 2:8, 2:12, 2:18, 3:1, 3:7, 3:14, 14:13, 19:9, 21:5
λεγει	G3004	V-PAI-3S	53	legei	λεγω	"properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 (λέγω) and G5346 (λέγω) generally refer to an individual expression or speech respectively; while G4483 (λέγω) is properly to break silence merely, and G2980 (λέγω) means an extended or random harangue)); by implication, to mean"	838	(53,)	(2, 419)	(37, 75, 31, 92, 24, 119, 22, 130, 33, 86, 17, 167)	(593, 1185, 484, 1451, 375, 1874, 342, 2053, 518, 1356, 267, 2633)	1:8, 2:1, 2:7, 2:8, 2:11, 2:12, 2:17, 2:18, 2:29, 3:1, 3:6, 3:7, 3:13, 3:14, 3:22, 5:5, 10:9, 10:11, 14:13, 17:15, 18:7, 19:9, 19:10, 21:5, 22:9, 22:10, 22:20
αμην	G281	HEB	99	amēn	αμην	properly, firm, i.e. (figuratively) trustworthy; adverbially, surely (often as interjection, so be it)	99	(3, 11)	(3, 11)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	(70, 140, 57, 171, 44, 221, 40, 242, 61, 160, 32, 311)	1:6, 1:7, 1:18, 3:14, 5:14, 7:12, 19:4, 22:20, 22:21
μαρτυς	G3144	N-NSM	1041	martus	μαρτυς	"a witness (literally (judicially) or figuratively (genitive case)); by analogy, a ""martyr"""	1041	(3, 347)	(3, 347)	(736, 1472, 601, 1803, 466, 2328, 425, 2550, 643, 1684, 331, 3270)	(736, 1472, 601, 1803, 466, 2328, 425, 2550, 643, 1684, 331, 3270)	1:5, 2:13, 3:14
πιστος	G4103	A-NSM	860	pistos	πιστος	objectively, trustworthy; subjectively, trustful	860	(2, 5, 43)	(2, 5, 43)	(608, 1216, 497, 1490, 385, 1923, 351, 2107, 532, 1392, 274, 2702)	(608, 1216, 497, 1490, 385, 1923, 351, 2107, 532, 1392, 274, 2702)	1:5, 2:10, 2:13, 3:14, 19:11
αληθινος	G228	A-NSM	378	alēthinos	αληθινος	truthful	378	(2, 3, 7)	(2, 3, 7)	(267, 535, 218, 655, 169, 845, 154, 926, 234, 612, 120, 1188)	(267, 535, 218, 655, 169, 845, 154, 926, 234, 612, 120, 1188)	3:7, 3:14, 6:10, 19:11
αρχη	G746	N-NSF	709	arxē	αρχη	(properly abstract) a commencement, or (concretely) chief (in various applications of order, time, place, or rank)	709	(709,)	(709,)	(501, 1003, 409, 1228, 317, 1585, 289, 1737, 438, 1147, 226, 2227)	(501, 1003, 409, 1228, 317, 1585, 289, 1737, 438, 1147, 226, 2227)	1:8, 3:14, 21:6, 22:13
κτισεως	G2937	N-GSF	1535	ktiseōs	κτισις	original formation (properly, the act; by implication, the thing, literally or figuratively)	740	(5, 307)	(2, 5, 37)	(1085, 2171, 886, 2659, 686, 3432, 627, 3760, 949, 2484, 489, 4822)	(523, 1047, 427, 1282, 331, 1655, 302, 1813, 457, 1197, 236, 2325)	3:14
θεου	G2316	N-GSM	484	theou	θεος	figuratively, a magistrate; by Hebraism, very	284	(2, 11)	(2, 71)	(342, 684, 279, 838, 216, 1082, 198, 1186, 299, 783, 154, 1521)	(201, 402, 164, 492, 127, 635, 116, 696, 176, 460, 90, 892)	1:2, 1:9, 2:7, 2:18, 3:1, 3:2, 3:12, 3:14, 4:5, 5:6, 6:9, 7:2, 7:3, 7:10, 7:15, 8:2, 8:4, 9:4, 9:13, 10:7, 11:1, 11:4, 11:11, 11:16, 11:19, 12:6, 12:10, 12:17, 14:5, 14:10, 14:12, 14:19, 15:1, 15:2, 15:3, 15:7, 15:8, 16:1, 16:9, 16:14, 16:19, 17:17, 19:9, 19:13, 19:15, 19:17, 20:4, 20:6, 20:9, 20:12, 21:2, 21:3, 21:10, 21:11, 21:23, 22:1, 22:3
οιδα	G1492	V-RAI-1S	85	oida	ειδω	used only in certain past tenses, the others being borrowed from the equivalent G3700 (εἴδω) and G3708 (εἴδω); properly, to see (literally or figuratively); by implication, (in the perfect tense only) to know	819	(5, 17)	(3, 7, 13)	(60, 120, 49, 147, 38, 190, 35, 208, 53, 138, 27, 267)	(579, 1158, 473, 1419, 366, 1831, 334, 2006, 506, 1325, 261, 2573)	2:2, 2:9, 2:13, 2:19, 3:1, 3:8, 3:15
εργα	G2041	N-APN	109	erga	εργον	toil (as an effort or occupation); by implication, an act	228	(109,)	(2, 3, 19)	(77, 154, 63, 189, 49, 244, 44, 267, 67, 176, 35, 342)	(161, 322, 132, 395, 102, 510, 93, 558, 141, 369, 73, 716)	2:2, 2:5, 2:6, 2:9, 2:13, 2:19, 2:23, 2:26, 3:1, 3:2, 3:8, 3:15, 14:13, 15:3, 18:6, 20:12, 20:13
ψυχρος	G5593	A-NSM	2070	psuxros	ψυχρος	chilly (literally or figuratively)	2070	(2, 3, 5, 23)	(2, 3, 5, 23)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	3:15, 3:16
ζεστος	G2200	A-NSM	782	zestos	ζεστος	boiled, i.e. (by implication) calid (figuratively, fervent)	782	(2, 17, 23)	(2, 17, 23)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	3:15, 3:16
ψυχρος	G5593	A-NSM	2070	psuxros	ψυχρος	chilly (literally or figuratively)	2070	(2, 3, 5, 23)	(2, 3, 5, 23)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	3:15, 3:16
ειης	G1498	V-PXO-2S	223	eiēs	ειην	might (could, would, or should) be	73	(223,)	(73,)	(158, 315, 129, 386, 100, 499, 91, 546, 138, 361, 71, 701)	(52, 103, 42, 126, 33, 163, 30, 179, 45, 118, 23, 229)	3:15
ζεστος	G2200	A-NSM	782	zestos	ζεστος	boiled, i.e. (by implication) calid (figuratively, fervent)	782	(2, 17, 23)	(2, 17, 23)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	3:15, 3:16
ουτως	G3779	ADV	1770	outōs	ουτως	in this way (referring to what precedes or follows)	1770	(2, 3, 5, 59)	(2, 3, 5, 59)	(1252, 2503, 1022, 3066, 792, 3958, 723, 4336, 1094, 2864, 563, 5561)	(1252, 2503, 1022, 3066, 792, 3958, 723, 4336, 1094, 2864, 563, 5561)	2:15, 3:16, 9:17, 11:5, 16:18, 18:21
χλιαρος	G5513	A-NSM	1011	xliaros	χλιαρος	tepid	1011	(3, 337)	(3, 337)	(715, 1430, 584, 1751, 452, 2261, 413, 2476, 625, 1636, 322, 3176)	(715, 1430, 584, 1751, 452, 2261, 413, 2476, 625, 1636, 322, 3176)	3:16
ψυχρος	G5593	A-NSM	2070	psuxros	ψυχρος	chilly (literally or figuratively)	2070	(2, 3, 5, 23)	(2, 3, 5, 23)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	(1464, 2927, 1195, 3585, 926, 4629, 845, 5070, 1279, 3349, 659, 6503)	3:15, 3:16
ζεστος	G2200	A-NSM	782	zestos	ζεστος	boiled, i.e. (by implication) calid (figuratively, fervent)	782	(2, 17, 23)	(2, 17, 23)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	(553, 1106, 451, 1354, 350, 1749, 319, 1916, 483, 1265, 249, 2457)	3:15, 3:16
μελλω	G3195	V-PAI-1S	905	mellō	μελλω	to intend, i.e. be about to be, do, or suffer something (of persons or things, especially events; in the sense of purpose, duty, necessity, probability, possibility, or hesitation)	905	(5, 181)	(5, 181)	(640, 1280, 523, 1568, 405, 2024, 369, 2217, 559, 1464, 288, 2843)	(640, 1280, 523, 1568, 405, 2024, 369, 2217, 559, 1464, 288, 2843)	3:16
εμεσαι	G1692	V-AAN	261	emesai	εμεω	to vomit	850	(3, 29)	(2, 5, 17)	(185, 369, 151, 452, 117, 584, 107, 639, 161, 422, 83, 820)	(601, 1202, 491, 1472, 380, 1901, 347, 2082, 525, 1375, 271, 2670)	3:16
στοματος	G4750	N-GSN	1181	stomatos	στομα	the mouth (as if a gash in the face); by implication, language (and its relations); figuratively, an opening (in the earth); specially, the front or edge (of a weapon)	611	(1181,)	(13, 47)	(835, 1670, 682, 2046, 528, 2641, 482, 2893, 730, 1911, 376, 3710)	(432, 864, 353, 1058, 273, 1366, 249, 1497, 378, 989, 194, 1920)	1:16, 2:16, 3:16, 11:5, 12:15, 12:16, 16:13, 19:15, 19:21
λεγεις	G3004	V-PAI-2S	253	legeis	λεγω	"properly, to ""lay"" forth, i.e. (figuratively) relate (in words (usually of systematic or set discourse; whereas G2036 (λέγω) and G5346 (λέγω) generally refer to an individual expression or speech respectively; while G4483 (λέγω) is properly to break silence merely, and G2980 (λέγω) means an extended or random harangue)); by implication, to mean"	838	(11, 23)	(2, 419)	(179, 358, 146, 438, 113, 566, 103, 620, 156, 409, 81, 795)	(593, 1185, 484, 1451, 375, 1874, 342, 2053, 518, 1356, 267, 2633)	3:17
