lemma	word	translation
G4976	σχῆμα	a figure (as a mode or circumstance), i.e. (by implication) external condition
G4387	πρότερος	prior or previous
G2378	θυσία	sacrifice (the act or the victim, literally or figuratively)
G2356	θρησκεία	ceremonial observance
G1966	ἐπιοῦσα	supervening, i.e. (G2250 (ἐπιοῦσα) or G3571 (ἐπιοῦσα) being expressed or implied) the ensuing day or night
G322	ἀναδείκνυμι	to exhibit, i.e. (by implication) to indicate, appoint
G1193	δερμάτινος	made of hide
G202	ἀκροατής	apparently an intensive of G191 (ἀκροατής)); a hearer (merely)
G2922	κριτήριον	a rule of judging ("criterion"), i.e. (by implication) a tribunal
G4414	πρωτοστάτης	one standing first in the ranks, i.e. a captain (champion)
G5333	φάρμακος	sorcerer, pertaining to magical arts
G1605	ἐκπλήσσω	to strike with astonishment
G508	ἀνώγεον	above the ground, i.e. (properly) the second floor of a building; used for a dome or a balcony on the upper story
G4	ἀβαρής	weightless, i.e. (figuratively) not burdensome
G712	ἄριστον	the best meal (or breakfast; perhaps from ("early")), i.e. luncheon
G1199	δεσμός	a band, i.e. ligament (of the body) or shackle (of a prisoner); figuratively, an impediment or disability
G5576	ψευδομαρτυρέω	to be an untrue testifier, i.e. offer falsehood in evidence
G2025	ἐπιχρίω	to smear over
G1533	εἰσφέρω	to carry inward (literally or figuratively)
G4692	σπεύδω	to "speed" ("study"), i.e. urge on (diligently or earnestly); by implication, to await eagerly
G2399	ἰδιώτης	a private person, i.e. (by implication) an ignoramus (compare "idiot")
G1298	διαταράσσω	to disturb wholly, i.e. agitate (with alarm)
G1688	ἐμβιβάζω	causative of G1684 (ἐμβιβάζω)); to place on, i.e. transfer (aboard a vessel)
G1003	Βοόζ	Booz, (i.e. Boaz), an Israelite
G5560	χωλός	"halt", i.e. limping
G1579	ἐκκολυμβάω	to escape by swimming
G4049	περισπάω	to drag all around, i.e. (figuratively) to distract (with care)
G5325	φαντασία	(properly abstract) a (vain) show ("fantasy")
G1390	δόμα	a present
G3497	Νεεμάν	Neeman (i.e. Naaman), a Syrian
G2122	εὐκαίρως	opportunely
G1279	διαπορεύομαι	to travel through
G2929	κρυσταλλίζω	to make (i.e. intransitively, resemble) ice ("crystallize")
G4229	πρᾶγμα	a deed; by implication, an affair; by extension, an object (material)
G1281	διαπραγματεύομαι	to thoroughly occupy oneself, i.e. (transitively and by implication) to earn in business
G5293	ὑποτάσσω	to subordinate; reflexively, to obey
G1126	γραώδης	crone-like, i.e. silly
G945	βαττολογέω	to stutter, i.e. (by implication) to prate tediously
G2126	εὐλαβής	taking well (carefully), i.e. circumspect (religiously, pious)
G2598	καταβάλλω	to throw down
G4776	συγκαθίζω	to give (or take) a seat in company with
G399	ἀναφέρω	to take up (literally or figuratively)
G1516	εἰρηνικός	pacific; by implication, salutary
G4357	προσμένω	to stay further, i.e. remain in a place, with a person; figuratively, to adhere to, persevere in
G4111	πλάσσω	to mould, i.e. shape or fabricate
G4422	πτοέω	to scare
G4823	συμβουλεύω	to give (or take) advice jointly, i.e. recommend, deliberate or determine
G848	αὑτοῦ	self (in some oblique case or reflexively, relation)
G4285	προηγέομαι	to lead the way for others, i.e. show deference
G388	ἀνασταυρόω	to recrucify (figuratively)
G1264	διαμάχομαι	to fight fiercely (in altercation)
G4585	σεμίδαλις	fine wheaten flour
G3569	τὰ νῦν	the things now, i.e. (adverbially) at present
G5617	Ὡσηέ	Hosee (i.e. Hoshea), an Israelite
G250	ἀλόη	aloes (the gum)
G4454	πῶλος	a "foal" or "filly", i.e. (specially), a young ass
G934	βασίλειος	kingly (in nature)
G241	ἀλλογενής	foreign, i.e. not a Jew
G3115	μακροθυμία	longanimity, i.e. (objectively) forbearance or (subjectively) fortitude
G4365	προσπορεύομαι	to journey towards, i.e. approach (not the same as G4313 (προσπορεύομαι))
G5489	χάρτης	a sheet ("chart") of writing-material (as to be scribbled over)
G571	ἄπιστος	(actively) disbelieving, i.e. without Christian faith (specially, a heathen); (passively) untrustworthy (person), or incredible (thing)
G1109	γνώστης	a knower
G1212	δῆλος	clear
G1254	διακωλύω	to hinder altogether, i.e. utterly prohibit
G5236	ὑπερβολή	a throwing beyond others, i.e. (figuratively) supereminence; adverbially (with G1519 (ὑπερβολή) or G2596 (ὑπερβολή)) pre- eminently
G1921	ἐπιγινώσκω	to know upon some mark, i.e. recognize; by implication, to become fully acquainted with, to acknowledge
G1890	ἐπαφρίζω	to foam upon, i.e. (figuratively) to exhibit (a vile passion)
G1914	ἐπιβλέπω	to gaze at (with favor, pity or partiality)
G96	ἀδόκιμος	unapproved, i.e. rejected; by implication, worthless (literally or morally)
G3860	παραδίδωμι	to surrender, i.e yield up, intrust, transmit
G1438	ἑαυτοῦ	him- (her-, it-, them-, also (in conjunction with the personal pronoun of the other persons) my-, thy-, our-, your-) self (selves), etc.
G2407	ἱερατεύω	to be a priest, i.e. perform his functions
G4887	συνδέω	to bind with, i.e. (passively) be a fellow-prisoner (figuratively)
G1416	δῦμι	to go "down"
G1458	ἐγκαλέω	to call in (as a debt or demand), i.e. bring to account (charge, criminate, etc.)
G2426	ἱκανότης	ability
G4065	περιφρονέω	to think beyond, i.e. depreciate (contemn)
G1037	βυθός	depth, i.e. (by implication) the sea
G367	Ἀνανίας	Ananias, the name of three Israelites
G4794	συγκύπτω	to stoop altogether, i.e. be completely overcome by
G1879	ἐπαναπαύομαι	to settle on; literally (remain) or figuratively (rely)
G2963	κυριότης	mastery, i.e. (concretely and collectively) rulers
G4164	ποικίλος	motley, i.e. various in character
G545	ἀπειθής	unpersuadable, i.e. contumacious
G4118	πλεῖστος	the largest number or very large
G4025	περίθεσις	a putting all around, i.e. decorating oneself with
G4099	Πισιδία	Pisidia, a region of Asia Minor
G4354	προσλαλέω	to talk to, i.e. converse with
G1155	δανείζω	to loan on interest; reflexively, to borrow
G3049	λογίζομαι	to take an inventory, i.e. estimate (literally or figuratively)
G2392	ἴασις	curing (the act)
G3731	ὅρμημα	an attack, i.e. (abstractly) precipitancy
G1911	ἐπιβάλλω	to throw upon (literal or figurative, transitive or reflexive; usually with more or less force); specially (with G1438 (ἐπιβάλλω) implied) to reflect; impersonally, to belong to
G771	ἀσθένημα	a scruple of conscience
G1976	ἐπιῤῥάπτω	to stitch upon, i.e. fasten with the needle
G4146	πλουσίως	copiously
G4676	σουδάριον	a sudarium (sweat-cloth), i.e. towel (for wiping the perspiration from the face, or binding the face of a corpse)
G4511	ῥύσις	a flux (of blood)
G1711	ἐμπορία	traffic
G2562	καλάμη	a stalk of grain, i.e. (collectively) stubble
G5173	Τρυφῶσα	luxuriating; Tryphosa, a Christian female
G3453	μυέω	to initiate, i.e. (by implication) to teach
G546	ἀπειλέω	to menace; by implication, to forbid
G1352	διό	through which thing, i.e. consequently
G5094	τιμιότης	expensiveness, i.e. (by implication) magnificence
G5143	τρέχω	compare G2359 (τρέχω)); which uses (the base of G1408 (τρέχω)) as alternate in certain tenses; to run or walk hastily (literally or figuratively)
G1340	διϊσχυρίζομαι	to stout it through, i.e. asservate
G1235	διαγρηγορέω	to waken thoroughly
G1503	εἴκω	to resemble
G4618	σιτευτός	grain-fed, i.e. fattened
G3390	μητρόπολις	a mother city, i.e. "metropolis"
G1601	ἐκπίπτω	to drop away; specially, be driven out of one's course; figuratively, to lose, become inefficient
G5242	ὑπερέχω	to hold oneself above, i.e. (figuratively) to excel; participle (as adjective, or neuter as noun) superior, superiority
G2802	Κλαύδη	Claude, an island near Crete
G2233	ἡγέομαι	to lead, i.e. command (with official authority); figuratively, to deem, i.e. consider
G1159	δαπανάω	to expend, i.e. (in a good sense) to incur cost, or (in a bad one) to waste
G1280	διαπορέω	to be thoroughly nonplussed
G4477	Ῥαχάβ	Rachab, a Canaanitess
G4691	σπερμολόγος	a seed-picker (as the crow), i.e. (figuratively) a sponger, loafer (specially, a gossip or trifler in talk)
G522	ἀπαίρω	to lift off, i.e. remove
G4948	Σύρος	a Syran (i.e. probably Tyrian), a native of Syria
G218	ἀλείφω	to oil (with perfume)
G1242	διαθήκη	properly, a disposition, i.e. (specially) a contract (especially a devisory will)
G3795	ὀψάριον	a relish to other food (as if cooked sauce), i.e. (specially), fish (presumably salted and dried as a condiment)
G80	ἀδελφός	a brother (literally or figuratively) near or remote (much like G1 (ἀδελφός))
G3104	Μαϊνάν	Mainan, an Israelite
G5206	υἱοθεσία	the placing as a son, i.e. adoption (figuratively, Christian sonship in respect to God)
G2723	κατηγορέω	to be a plaintiff, i.e. to charge with some offence
G5294	ὑποτίθημι	to place underneath, i.e. (figuratively) to hazard, (reflexively) to suggest
G4651	σκορπίος	a "scorpion" (from its sting)
G4383	πρόσωπον	the front (as being towards view), i.e. the countenance, aspect, appearance, surface; by implication, presence, person
G1825	ἐξεγείρω	to rouse fully, i.e. (figuratively) to resuscitate (from death), release (from infliction)
G1753	ἐνέργεια	efficiency ("energy")
G765	ἀσεβής	irreverent, i.e. (by extension) impious or wicked
G1981	ἐπισκηνόω	to tent upon, i.e. (figuratively) abide with 
G3397	μικρόν	a small space of time or degree
G5147	τρίβος	akin to , , and the base of G5131 (τρίβος), G5134 (τρίβος)); a rut or worn track
G398	ἀναφαίνω	to show, i.e. (reflexively) appear, or (passively) to have pointed out
G909	βαπτισμός	ablution (ceremonial or Christian)
G3136	Μάρθα	Martha, a Christian woman
G172	ἄκακος	not bad, i.e. (objectively) innocent or (subjectively) unsuspecting
G4270	προγράφω	to write previously; figuratively, to announce, prescribe
G51	ἀγνόημα	a thing ignored, i.e. shortcoming
G3026	λῆρος	twaddle, i.e. an incredible story
G2981	λαλιά	talk
G2743	καυτηριάζω	to brand ("cauterize"), i.e. (by implication) to render unsensitive (figuratively)
G1217	δημιουργός	a worker for the people, i.e. mechanic (spoken of the Creator)
G1858	ἑορτάζω	to observe a festival
G4014	περιαιρέω	to remove all around, i.e. unveil, cast off (anchor); figuratively, to expiate
G3344	μεταστρέφω	to turn across, i.e. transmute or (figuratively) corrupt
G1830	ἐξερευνάω	to explore (figuratively)
G3128	Μανασσῆς	Mannasses (i.e. Menashsheh), an Israelite
G1918	ἐπιγαμβρεύω	to form affinity with, i.e. (specially) in a levirate way
G1308	διαφέρω	to bear through, i.e. (literally) transport; usually to bear apart, i.e. (objectively) to toss about (figuratively, report); subjectively, to "differ", or (by implication) surpass
G5557	χρυσός	gold; by extension, a golden article, as an ornament or coin
G4132	πλήμμυρα	flood-tide, i.e. (by analogy) a freshet
G3980	πειθαρχέω	to be persuaded by a ruler, i.e. (genitive case) to submit to authority; by analogy, to conform to advice
G1364	δίς	twice
G3780	οὐχί	not indeed
G2557	κακοῦργος	a wrong-doer, i.e. criminal
G341	ἀνακαινόω	to renovate
G805	ἀσφαλίζω	to render secure
G1586	ἐκλέγομαι	to select
G753	ἀρχιτέκτων	a chief constructor, i.e. "architect"
G2410	Ἱεριχώ	Jericho, a place in Palestine
G1938	ἐπιθυμητής	a craver
G5084	τήρησις	a watching, i.e. (figuratively) observance, or (concretely) a prison
G2814	κλῆμα	a limb or shoot (as if broken off)
G2115	εὔθυμος	in fine spirits, i.e. cheerful
G1205	δεῦτε	come hither!
G5493	χείμαῤῥος	a storm-runlet, i.e. winter-torrent
G4298	προκόπτω	to drive forward (as if by beating), i.e. (figuratively and intransitively) to advance (in amount, to grow; in time, to be well along)
G1543	ἑκατόνταρχος	the captain of one hundred men
G1821	ἐξαποστέλλω	to send away forth, i.e. (on a mission) to despatch, or (peremptorily) to dismiss
G1325	δίδωμι	to give (used in a very wide application, properly, or by implication, literally or figuratively; greatly modified by the connection)
G1108	γνῶσις	knowing (the act), i.e. (by implication) knowledge
G1638	ἐλαιών	an olive-orchard, i.e. (specially) the Mount of Olives
G57	ἄγνωστος	unknown
G1076	γενεαλογία	tracing by generations, i.e. "genealogy"
G488	ἀντιμετρέω	to mete in return
G3879	παρακύπτω	to bend beside, i.e. lean over (so as to peer within)
G2505	καθά	according to which things, i.e. just as
G4747	στοιχεῖον	something orderly in arrangement, i.e. (by implication) a serial (basal, fundamental, initial) constituent (literally), proposition (figuratively)
G4462	ῥαββουνί	corresponding to G4461 (ῥαββουνί)
G3655	ὄμβρος	a thunder storm
G3538	νίπτω	to cleanse (especially the hands or the feet or the face); ceremonially, to perform ablution
G5608	ὠνέομαι	to purchase (synonymous with the earlier G4092 (ὠνέομαι))
G2674	καταριθμέω	to reckon among
G5615	ὡσαύτως	as thus, i.e. in the same way
G3158	Ματθάτ	Matthat (i.e. Mattithjah), the name of two Israelites
G4376	προσφορά	presentation; concretely, an oblation (bloodless) or sacrifice
G3838	παντελής	full-ended, i.e. entire (neuter as noun, completion)
G2206	ζηλόω	to have warmth of feeling for or against
G3389	μητραλῴας	a mother-thresher, i.e. matricide
G2677	καταρτισμός	complete furnishing (objectively)
G4982	σώζω	to save, i.e. deliver or protect (literally or figuratively)
G3554	νόσος	a malady (rarely figuratively, of moral disability)
G25	ἀγαπάω	to love (in a social or moral sense)
G2387	Ἰαμβρῆς	Jambres, an Egyptian
G4020	περιεργάζομαι	to work all around, i.e. bustle about (meddle)
G3804	πάθημα	something undergone, i.e. hardship or pain; subjectively, an emotion or influence
G642	ἀπορφανίζω	to bereave wholly, i.e. (figuratively) separate (from intercourse)
G1296	διαταγή	arrangement, i.e. institution
G3855	παράγω	to lead near, i.e. (reflexively or intransitively) to go along or away
G343	ἀνακαλύπτω	to unveil
G4640	σκιρτάω	to jump, i.e. sympathetically move (as the quickening of a fetus)
G4708	σπουδαιοτέρως	more speedily, i.e. sooner than otherwise
G3315	μεσιτεύω	to interpose (as arbiter), i.e (by implication) to ratify (as surety)
G1892	ἐπεγείρω	to rouse upon, i.e. (figuratively) to excite against
G2974	κωφός	blunted, i.e. (figuratively) of hearing (deaf) or speech (dumb)
G2355	θρῆνος	wailing
G4638	σκήνωμα	an encampment, i.e. (figuratively) the Temple (as God's residence), the body (as a tenement for the soul)
G1730	ἔνδειγμα	an indication (concretely)
G2789	κιθαρίζω	to play on a lyre
G2899	κράσπεδον	a margin, i.e. (specially), a fringe or tassel
G3755	ὅτου	during which same time, i.e. whilst
G225	ἀλήθεια	truth
G4360	προσοχθίζω	to feel indignant at
G2972	Κώς	Cos, an island in the Mediterranean
G2510	καθάπτω	to seize upon
G4218	ποτέ	indefinite adverb, at some time, ever
G2414	Ἱεροσόλυμα	Hierosolyma (i.e. Jerushalaim), the capitol of Palestine
G5033	τάχιστα	most quickly, i.e. (with G5613 (τάχιστα) prefixed) as soon as possible
G2472	ἰσότιμος	of equal value or honor
G3726	ὁρκίζω	to put on oath, i.e. make swear; by analogy, to solemnly enjoin
G5191	ὑακίνθινος	"hyacinthine" or "jacinthine", i.e. deep blue
G846	αὐτός	the reflexive pronoun self, used (alone or in the comparative G1438 (αὐτός)) of the third person , and (with the proper personal pronoun) of the other persons
G4827	συμμαθητής	a co-learner (of Christianity)
G2169	εὐχαριστία	gratitude; actively, grateful language (to God, as an act of worship)
G1720	ἐμφυσάω	to blow at or on
G4895	σύνειμι	to be in company with, i.e. present at the time
G5458	φωστήρ	an illuminator, i.e. (concretely) a luminary, or (abstractly) brilliancy
G3073	Λυκία	Lycia, a province of Asia Minor
G3183	μέθυσος	tipsy, i.e. (as noun) a sot
G3021	λευκαίνω	to whiten
G1320	διδάσκαλος	an instructor (genitive case or specially)
G2076	ἐστί	he (she or it) is; also (with neuter plural) they are
G4086	πιθανολογία	persuasive language
G212	ἀλαζονεία	braggadocio, i.e. (by implication) self-confidence
G442	ἀνθρώπινος	human
G4508	ῥυπαρός	dirty, i.e. (relatively) cheap or shabby; morally, wicked
G2948	κυλλός	rocking about, i.e. crippled (maimed, in feet or hands)
G1181	δεκάτη	a tenth, i.e. as a percentage or (technically) tithe
G4029	περίκειμαι	to lie all around, i.e. inclose, encircle, hamper (literally or figuratively)
G2608	κατάγνυμι	to rend in pieces, i.e. crack apart
G2771	κέρδος	gain (pecuniary or genitive case)
G607	ἀποκεφαλίζω	to decapitate
G2611	καταδέω	to tie down, i.e. bandage (a wound)
G5620	ὥστε	so too, i.e. thus therefore (in various relations of consecution, as follow)
G3676	ὅμως	at the same time, i.e. (conjunctionally) notwithstanding, yet still
G1947	ἐπικουρία	assistance
G4525	σαίνω	to wag (as a dog its tail fawningly), i.e. (generally) to shake (figuratively, disturb)
G2617	καταισχύνω	to shame down, i.e. disgrace or (by implication) put to the blush
G4751	στόμαχος	an orifice (the gullet), i.e. (specially), the "stomach"
G3074	λύκος	a wolf
G981	βίωσις	living (properly, the act, by implication, the mode)
G5056	τέλος	properly, the point aimed at as a limit, i.e. (by implication) the conclusion of an act or state (termination (literally, figuratively or indefinitely), result (immediate, ultimate or prophetic), purpose); specially, an impost or levy (as paid)
G4994	σωφρονίζω	to make of sound mind, i.e. (figuratively) to discipline or correct
G3666	ὁμοιόω	to assimilate, i.e. compare; passively, to become similar
G2120	εὐκαιρία	a favorable occasion
G832	αὐλέω	to play the flute
G584	ἀποδείκνυμι	to show off, i.e. exhibit; figuratively, to demonstrate, i.e. accredit
G2175	εὐωδία	good-scentedness, i.e. fragrance
G574	ἁπλῶς	bountifully; 
G1333	διετία	a space of two years (biennium)
G180	ἀκατάπαυστος	unrefraining
G1843	ἐξομολογέω	to acknowledge or (by implication, of assent) agree fully
G3427	μοί	to me
G2803	Κλαυδία	Claudia, a Christian woman
G4977	σχίζω	to split or sever (literally or figuratively)
G2326	θερισμός	reaping, i.e. the crop
G4496	ῥίπτω	to fling (properly, with a quick toss, thus differing from G906 (ῥίπτω), which denotes a deliberate hurl; and from (see in G1614 (ῥίπτω)), which indicates an extended projection); by qualification, to deposit (as if a load); by extension, to disperse
G3171	μεγάλως	much
G2667	καταπίπτω	to fall down
G2875	κόπτω	to "chop"; specially, to beat the breast in grief
G4961	συστρατιώτης	a co-campaigner, i.e. (figuratively) an associate in Christian toil
G3437	μομφή	blame, i.e. (by implication), a fault
G1649	ἔλεγξις	refutation, i.e. reproof
G2199	Ζεβεδαῖος	Zebedæus, an Israelite
G5469	χαλινός	a curb or head-stall (as curbing the spirit)
G3191	μελετάω	to take care of, i.e. (by implication) revolve in the mind
G872	ἀφοράω	to consider attentively
G970	βία	force
G1496	εἰδωλολάτρης	an image- (servant or) worshipper (literally or figuratively)
G5516	χξϛ	666 as a numeral
G3125	μάμμη	a grandmother
G5262	ὑπόδειγμα	an exhibit for imitation or warning (figuratively, specimen, adumbration)
G4105	πλανάω	to (properly, cause to) roam (from safety, truth, or virtue)
G273	ἄμεμπτος	irreproachable
G515	ἀξιόω	to deem entitled or fit
G4161	ποίημα	a product, i.e. fabric (literally or figuratively)
G994	βοάω	to halloo, i.e. shout (for help or in a tumultuous way)
G1103	γνήσιος	legitimate (of birth), i.e. genuine
G3560	νουθετέω	to put in mind, i.e. (by implication) to caution or reprove gently
G3066	Λούκιος	illuminative; Lucius, a Christian
G1332	διετής	of two years (in age)
G1288	διασπάω	to draw apart, i.e. sever or dismember
G4998	σώφρων	safe (sound) in mind, i.e. self-controlled (moderate as to opinion or passion)
G5312	ὑψόω	to elevate (literally or figuratively)
G2682	κατασκήνωσις	an encamping, i.e. (figuratively) a perch
G1481	ἐθνάρχης	the governor (not king) of a district
G2845	κοίτη	a couch; by extension, cohabitation; by implication, the male sperm
G1451	ἐγγύς	akin to the base of G43 (ἐγγύς)); near (literally or figuratively, of place or time)
G2892	κουστωδία	"custody", i.e. a Roman sentry
G1553	ἐκδημέω	to emigrate, i.e. (figuratively) vacate or quit
G3596	ὁδοιπορέω	to be a wayfarer, i.e. travel
G3485	ναός	a fane, shrine, temple 
G4842	συμπέμπω	to despatch in company
G4238	πράσσω	to "practise", i.e. perform repeatedly or habitually (thus differing from G4160 (πράσσω), which properly refers to a single act); by implication, to execute, accomplish, etc.; specially, to collect (dues), fare (personally)
G2223	ζώνη	a belt; by implication, a pocket
G272	ἀμελέω	to be careless of
G2087	ἕτερος	(an-, the) other or different
G4045	περιπίπτω	to fall into something that is all around, i.e. light among or upon, be surrounded with
G2111	εὔθετος	well placed, i.e. (figuratively) appropriate
G5324	φαντάζω	to make apparent, i.e. (passively) to appear (neuter participle as noun, a spectacle)
G957	βελτίον	better
G4127	πληγή	a stroke; by implication, a wound; figuratively, a calamity
G338	ἀναίτιος	innocent
G3328	μεταβάλλω	to throw over, i.e. (middle voice figuratively) to turn about in opinion
G3592	τόδε	the same, i.e. this or that one (plural these or those); often used as a personal pronoun
G4939	σύντροφος	a fellow-nursling, i.e. comrade
G3349	μετεωρίζω	to raise in mid-air, i.e. (figuratively) suspend (passively, fluctuate or be anxious)
G417	ἄνεμος	wind; (plural) by implication, (the four) quarters (of the earth)
G4688	σπεκουλάτωρ	a speculator, i.e. military scout (spy or (by extension) life-guardsman)
G1794	ἐντυλίσσω	probably akin to G1507 (ἐντυλίσσω)); to entwine, i.e. wind up in
G4622	Σιών	Sion (i.e. Tsijon), a hill of Jerusalem; figuratively, the Church (militant or triumphant)
G157	αἰτίαμα	a thing charged
G1898	ἐπεισαγωγή	a superintroduction
G2380	θύω	properly, to rush (breathe hard, blow, smoke), i.e. (by implication) to sacrifice (properly, by fire, but genitive case); by extension to immolate (slaughter for any purpose)
G3820	παλαιός	antique, i.e. not recent, worn out
G3442	μονόφθαλμος	one-eyed
G2786	Κηφᾶς	the Rock; Cephas (i.e. Kepha), a surname of Peter
G1925	ἐπιδείκνυμι	to exhibit (physically or mentally)
G1567	ἐκζητέω	to search out, i.e. (figuratively)investigate, crave, demand, (by Hebraism) worship
G4269	πρόγονος	an ancestor, (grand-)parent
G696	ἄργυρος	silver (the metal, in the articles or coin)
G1305	διατροφή	nourishment
G1408	δρόμος	a race, i.e. (figuratively) career
G5485	χάρις	graciousness (as gratifying), of manner or act (abstract or concrete; literal, figurative or spiritual; especially the divine influence upon the heart, and its reflection in the life; including gratitude)
G2916	κρίθινος	consisting of barley
G1708	ἐμπλοκή	elaborate braiding of the hair
G2046	ἐρέω	an alternate for G2036 (ἐρέω) in certain tenses; to utter, i.e. speak or say
G501	ἀντλέω	to bale up (properly, bilge water), i.e. dip water (with a bucket, pitcher, etc.)
G5124	τοῦτο	that thing
G4667	Σμύρνα	Smyrna, a place in Asia Minor
G75	ἀγωνίζομαι	to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something)
G743	ἀρχάγγελος	a chief angel
G5232	ὑπεραυξάνω	to increase above ordinary degree
G2286	θανάσιμος	fatal, i.e. poisonous
G5544	χρηστότης	usefulness, i.e. morally, excellence (in character or demeanor)
G4979	σχοινίον	of uncertain derivation); a rushlet, i.e. grass-withe or tie (generally)
G5370	φίλημα	a kiss
G206	ἄκρον	the extremity
G1908	ἐπηρεάζω	to insult, slander
G4257	προακούω	to hear already,i.e. anticipate
G4329	προσδοκία	apprehension (of evil); by implication, infliction anticipated
G3706	ὅρασις	the act of gazing, i.e. (externally) an aspect or (internally) an inspired appearance
G3961	πατέω	to trample (literally or figuratively)
G4614	Σινᾶ	Sina (i.e. Sinai), a mountain in Arabia
G4341	προσκαλέομαι	to call toward oneself, i.e. summon, invite
G5502	χερουβίμ	"cherubim" (i.e. cherubs or kerubim)
G677	ἀπρόσκοπος	actively, inoffensive, i.e. not leading into sin; passively, faultless, i.e. not led into sin
G1512	εἴ περ	if perhaps
G2584	Καπερναούμ	Capernaum (i.e. Caphanachum), a place in Palestine
G3845	παραβαίνω	to go contrary to, i.e. violate a command
G2710	καταχράομαι	to overuse, i.e. misuse
G4291	προΐστημι	to stand before, i.e. (in rank) to preside, or (by implication) to practise
G2926	κρύπτη	a hidden place, i.e. cellar ("crypt")
G68	ἀγρός	a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet
G5270	ὑποκάτω	down under, i.e. beneath
G5006	ταλαντιαῖος	talent-like in weight
G2626	κατακλύζω	to dash (wash) down, i.e. (by implication) to deluge
G5239	ὑπερεκτείνω	to extend inordinately
G3414	μνᾶ	a mna (i.e. mina), a certain weight
G4604	σίδηρος	iron
G46	ἄγναφος	properly, unfulled, i.e. (by implication) new (cloth)
G1882	ἐπανόρθωσις	a straightening up again, i.e. (figuratively) rectification (reformation)
G5029	τάχα	shortly, i.e. (figuratively) possibly
G4342	προσκαρτερέω	to be earnest towards, i.e. (to a thing) to persevere, be constantly diligent, or (in a place) to attend assiduously all the exercises, or (to a person) to adhere closely to (as a servitor)
G4094	πίναξ	a plate
G2404	Ἱεράπολις	holy city; Hierapolis, a place in Asia Minor
G2578	κάμπτω	to bend
G3787	ὀφθαλμοδουλεία	sight-labor, i.e. that needs watching (remissness)
G2108	εὐεργεσία	beneficence (genitive case or specially)
G1877	ἐπανάγω	to lead up on, i.e. (technical) to put out (to sea); (intransitively) to return
G4627	σκάφη	a "skiff" (as if dug out), or yawl (carried aboard a large vessel for landing)
G1686	ἐμβάπτω	to whelm on, i.e. wet (a part of the person, etc.) by contact with a fluid
G5446	φυσικός	"physical", i.e. (by implication) instinctive
G4717	σταυρόω	to impale on the cross; figuratively, to extinguish (subdue) passion or selfishness
G4035	περιλείπω	to leave all around, i.e. (passively) survive
G3080	λύσις	a loosening, i.e. (specially), divorce
G5269	ὑποζώννυμι	to gird under, i.e. frap (a vessel with cables across the keel, sides and deck)
G4744	στίλβω	to gleam, i.e. flash intensely
G4544	Σάμος	Samus, an island of the Mediterranean
G3133	μαραίνω	to extinguish (as fire), i.e. (figuratively and passively) to pass away
G5072	τετράμηνον	a four months' space
G5304	ὑστέρησις	a falling short, i.e. (specially), penury
G4499	Ῥόδος	Rhodus, an island of the Mediterranean
G242	ἅλλομαι	to jump; figuratively, to gush
G1295	διασώζω	to save thoroughly, i.e. (by implication or analogy) to cure, preserve, rescue, etc.
G781	ἄσοφος	unwise
G3196	μέλος	a limb or part of the body
G975	βιβλίον	a roll
G1662	Ἐλιακείμ	Eliakim, an Israelite
G1992	ἐπιστολή	a written message
G1696	ἐμμένω	to stay in the same place, i.e. (figuratively) persevere
G3639	ὄλεθρος	a prolonged form); ruin, i.e. death, punishment
G3166	μεγαλαυχέω	akin to G837 (μεγαλαυχέω) and G2744 (μεγαλαυχέω)); to talk big, i.e. be grandiloquent (arrogant, egotistic)
G194	ἄκρατος	undiluted
G5596	ψωμίον	a crumb or morsel (as if rubbed off), i.e. a mouthful
G4225	πού	as adverb of place, somewhere, i.e. nearly
G3957	πάσχα	the Passover (the meal, the day, the festival or the special sacrifices connected with it)
G5597	ψώχω	to triturate, i.e. (by analogy) to rub out (kernels from husks with the fingers or hand)
G4522	σαγήνη	a "seine" for fishing
G2038	ἐργάζομαι	to toil (as a task, occupation, etc.), (by implication) effect, be engaged in or with, etc.
G32	ἄγγελος	compare G34 (ἄγγελος)) (to bring tidings); a messenger; especially an "angel"; by implication, a pastor
G4053	περισσός	superabundant (in quantity) or superior (in quality); by implication, excessive; adverbially (with G1537 (περισσός)) violently; neuter (as noun) preeminence
G3812	παιδιόθεν	from infancy
G5451	φυτεία	trans-planting, i.e. (concretely) a shrub or vegetable
G305	ἀναβαίνω	to go up (literally or figuratively)
G5170	Τρύφαινα	luxurious; Tryphæna, a Christian woman
G4231	πραγματεύομαι	to busy oneself with, i.e. to trade
G472	ἀντέχομαι	to hold oneself opposite to, i.e. (by implication) adhere to; by extension to care for
G3506	νεύω	to "nod", i.e. (by analogy), signal
G3667	ὁμοίωμα	a form; abstractly, resemblance
G3583	ξηραίνω	to desiccate; by implication, to shrivel, to mature
G3603	ὅ ἐστι	which is
G4734	Στεφανᾶς	from G4737 (Στεφανᾶς)); Stephanas, a Christian
G3575	Νῶε	Noë, (i.e. Noäch), a patriarch
G2694	κατασύρω	to drag down, i.e. arrest judicially
G1261	διαλογισμός	discussion, i.e. (internal) consideration (by implication, purpose), or (external) debate
